test,model,position,loss
random,Transformer,36,14.452775955200195
random,BDH,37,14.615242004394531
random,Transformer,37,13.800655364990234
random,BDH,38,15.314441680908203
random,Transformer,38,14.669557571411133
random,BDH,39,15.106634140014648
random,Transformer,39,14.297962188720703
random,BDH,40,15.089263916015625
random,Transformer,40,14.2069091796875
random,BDH,41,14.100791931152344
random,Transformer,41,14.413004875183105
random,BDH,42,15.16700267791748
random,Transformer,42,14.329584121704102
random,BDH,43,15.145472526550293
random,Transformer,43,14.207603454589844
random,BDH,44,14.50634479522705
random,Transformer,44,14.340097427368164
random,BDH,45,15.255311965942383
random,Transformer,45,14.587080001831055
random,BDH,46,14.957254409790039
random,Transformer,46,14.456751823425293
random,BDH,47,13.725692749023438
random,Transformer,47,13.860153198242188
random,BDH,48,15.235396385192871
random,Transformer,48,14.470802307128906
random,BDH,49,15.246880531311035
random,Transformer,49,14.685458183288574
random,BDH,50,14.55341911315918
random,Transformer,50,14.390741348266602
random,BDH,51,15.058345794677734
random,Transformer,51,13.957426071166992
random,BDH,52,14.758533477783203
random,Transformer,52,13.891786575317383
random,BDH,53,14.751274108886719
random,Transformer,53,14.487897872924805
random,BDH,54,15.195280075073242
random,Transformer,54,14.464035034179688
random,BDH,55,14.506162643432617
random,Transformer,55,14.204750061035156
random,BDH,56,14.652841567993164
random,Transformer,56,14.474471092224121
random,BDH,57,14.593181610107422
random,Transformer,57,14.040395736694336
random,BDH,58,14.509740829467773
random,Transformer,58,14.045846939086914
random,BDH,59,14.173262596130371
random,Transformer,59,14.401599884033203
random,BDH,60,14.888267517089844
random,Transformer,60,14.326379776000977
random,BDH,61,14.46037483215332
random,Transformer,61,14.244503021240234
random,BDH,62,13.691173553466797
random,Transformer,62,13.569557189941406
random,BDH,63,15.289458274841309
random,Transformer,63,14.293066024780273
random,BDH,64,15.096264839172363
random,Transformer,64,14.534017562866211
random,BDH,65,14.455194473266602
random,Transformer,65,14.070767402648926
random,BDH,66,15.054039001464844
random,Transformer,66,14.608709335327148
random,BDH,67,15.302806854248047
random,Transformer,67,14.601396560668945
random,BDH,68,14.52755355834961
random,Transformer,68,13.79878044128418
random,BDH,69,14.363945007324219
random,Transformer,69,13.728448867797852
random,BDH,70,14.165961265563965
random,Transformer,70,14.22514533996582
random,BDH,71,14.535024642944336
random,Transformer,71,14.101421356201172
random,BDH,72,14.755622863769531
random,Transformer,72,14.089178085327148
random,BDH,73,15.278623580932617
random,Transformer,73,14.656671524047852
random,BDH,74,15.174636840820312
random,Transformer,74,14.661285400390625
random,BDH,75,14.21725845336914
random,Transformer,75,14.031684875488281
random,BDH,76,14.97979736328125
random,Transformer,76,14.213409423828125
random,BDH,77,14.593372344970703
random,Transformer,77,14.588846206665039
random,BDH,78,14.76835823059082
random,Transformer,78,14.548892974853516
random,BDH,79,14.128921508789062
random,Transformer,79,13.772543907165527
random,BDH,80,14.80152702331543
random,Transformer,80,14.314048767089844
random,BDH,81,14.135576248168945
random,Transformer,81,13.692222595214844
random,BDH,82,14.586812973022461
random,Transformer,82,14.479841232299805
random,BDH,83,14.796159744262695
random,Transformer,83,14.476879119873047
random,BDH,84,14.677401542663574
random,Transformer,84,14.602733612060547
random,BDH,85,15.05046272277832
random,Transformer,85,14.618917465209961
random,BDH,86,14.533599853515625
random,Transformer,86,14.649158477783203
random,BDH,87,15.032817840576172
random,Transformer,87,14.699501991271973
random,BDH,88,14.597557067871094
random,Transformer,88,14.339263916015625
random,BDH,89,14.232536315917969
random,Transformer,89,13.923883438110352
random,BDH,90,14.746732711791992
random,Transformer,90,13.760766983032227
random,BDH,91,14.63868522644043
random,Transformer,91,14.357240676879883
random,BDH,92,14.567790985107422
random,Transformer,92,14.182952880859375
random,BDH,93,15.055231094360352
random,Transformer,93,14.204283714294434
random,BDH,94,14.42175579071045
random,Transformer,94,13.987792015075684
random,BDH,95,14.212493896484375
random,Transformer,95,14.083040237426758
random,BDH,96,15.026803970336914
random,Transformer,96,14.3922119140625
random,BDH,97,14.414828300476074
random,Transformer,97,13.903851509094238
random,BDH,98,14.553373336791992
random,Transformer,98,14.426815032958984
random,BDH,99,14.76559066772461
random,Transformer,99,14.656058311462402
random,BDH,100,14.794402122497559
random,Transformer,100,14.308076858520508
random,BDH,101,14.188343048095703
random,Transformer,101,14.521663665771484
random,BDH,102,15.370600700378418
random,Transformer,102,14.843311309814453
random,BDH,103,14.643658638000488
random,Transformer,103,14.189565658569336
random,BDH,104,14.855491638183594
random,Transformer,104,14.927888870239258
random,BDH,105,14.49390983581543
random,Transformer,105,14.352588653564453
random,BDH,106,15.088245391845703
random,Transformer,106,14.205489158630371
random,BDH,107,15.079816818237305
random,Transformer,107,14.996329307556152
random,BDH,108,14.865089416503906
random,Transformer,108,14.450063705444336
random,BDH,109,14.617751121520996
random,Transformer,109,14.059428215026855
random,BDH,110,14.772270202636719
random,Transformer,110,14.653514862060547
random,BDH,111,14.335004806518555
random,Transformer,111,13.610807418823242
random,BDH,112,14.64801025390625
random,Transformer,112,14.339332580566406
random,BDH,113,14.784048080444336
random,Transformer,113,14.373747825622559
random,BDH,114,14.096599578857422
random,Transformer,114,13.797386169433594
random,BDH,115,14.843009948730469
random,Transformer,115,14.746939659118652
random,BDH,116,14.955228805541992
random,Transformer,116,13.798820495605469
random,BDH,117,14.28282356262207
random,Transformer,117,14.001572608947754
random,BDH,118,14.872966766357422
random,Transformer,118,14.163300514221191
random,BDH,119,14.700377464294434
random,Transformer,119,14.586599349975586
random,BDH,120,14.648008346557617
random,Transformer,120,14.441801071166992
random,BDH,121,14.625702857971191
random,Transformer,121,14.283208847045898
random,BDH,122,14.493733406066895
random,Transformer,122,14.235240936279297
random,BDH,123,14.553287506103516
random,Transformer,123,14.47225284576416
random,BDH,124,15.099544525146484
random,Transformer,124,14.533320426940918
random,BDH,125,14.403178215026855
random,Transformer,125,14.08732795715332
random,BDH,126,14.531977653503418
random,Transformer,126,14.369640350341797
random,BDH,127,15.05109977722168
random,Transformer,127,14.298530578613281
random,BDH,128,14.504430770874023
random,Transformer,128,13.906679153442383
random,BDH,129,14.219035148620605
random,Transformer,129,13.923378944396973
random,BDH,130,14.400008201599121
random,Transformer,130,14.573701858520508
